gene,logFC,AveExpr,t,P.Value,padj,B
AGAP6,-2.1666661388435715,3.728068437937167,-6.6148755431909985,1.5708081927222449e-7,1.2571107959888253e-5,7.370165985680389
NRBP2,-1.759817853128873,4.674463231384358,-6.613337972355998,1.5778497919755933e-7,1.2571107959888253e-5,7.365858992561622
RALGAPA2,-0.9382699474719312,5.265160152707404,-6.611619095190679,1.5857594399102178e-7,1.2571107959888253e-5,7.361043904430746
USP20,-1.0746390814617948,6.544274235829274,-6.582076117500394,1.728135465923391e-7,1.3092323166944625e-5,7.278248249506149
KCNAB3,-1.2656561766397192,3.4346928001485217,-6.570056153463587,1.7896932712787915e-7,1.3121658643294906e-5,7.244541916672782
MYO19,-1.2899915321081912,4.8351540793282135,-6.56476429428971,1.8174914232560662e-7,1.3248885754356291e-5,7.229698918369261
CCNL2,-1.1367231125365487,7.479828489712509,-6.549610856909218,1.8995262665004538e-7,1.3664916573569921e-5,7.1871833928220425
TAF1C,-2.33833630045361,6.008697765448624,-6.544428685568112,1.9284295700638727e-7,1.3664916573569921e-5,7.17263986593554
ARHGEF7,-0.946825238128501,6.095572444703095,-6.52935607446605,2.0150433855483716e-7,1.3877864413610979e-5,7.13032758203506
TBC1D2B,-1.1536571436406635,6.0570311391104905,-6.526261331969095,2.033307129324843e-7,1.3877864413610979e-5,7.121637788183065
PLXDC1,-1.812519758773136,4.555879900066428,-6.526003880301777,2.034833993074112e-7,1.3877864413610979e-5,7.120914851421805
DDHD1,-1.057130772821897,6.041970380272269,-6.524431396247844,2.0441850321507177e-7,1.3877864413610979e-5,7.116499131078152
LOC401320,-1.591576343379467,5.299804822011584,-6.515887998490735,2.095752537081508e-7,1.4139641053373321e-5,7.092505002442213
PABPC1L,-1.9211519919348345,4.138370691507563,-6.513034745053928,2.1132653183654707e-7,1.4146920295565375e-5,7.084490418233143
GOLGA2P5,-1.7118351086567907,3.6327687434463565,-6.510348091473766,2.1298904520756286e-7,1.4146920295565375e-5,7.076943243196341
CACFD1,-1.7429084918778648,2.5643657263923725,-6.502870189991373,2.1768619493708845e-7,1.4380894253031406e-5,7.05593396228727
PCED1A,-1.2492450117810028,6.283477123259841,-6.492167088869674,2.2459161044715856e-7,1.4664719046465623e-5,7.02585620319674
ADAM19,-1.4519194276535203,6.209662198198118,-6.48973617976935,2.2619052269468981e-7,1.4664719046465623e-5,7.019023704453616
LOC102724814,-3.441501125867654,3.533719333530963,-6.489567896984299,2.2630163335314381e-7,1.4664719046465623e-5,7.018550699903061
RRP7B,-1.2408319919279882,3.2247147031478822,-6.489105624336212,2.26607137583354e-7,1.4664719046465623e-5,7.017251346135685
XYLT2,-1.1952472007580979,4.443705747060959,-6.469972888118632,2.396231402695562e-7,1.5073238030677865e-5,6.963459422587643
FBXO44,-2.1041975199758185,4.56960430545772,-6.469363333413295,2.400499907124668e-7,1.5073238030677865e-5,6.961745214061192
APBB3,-1.8273639766511012,5.048805473804351,-6.465516037983507,2.427618690390396e-7,1.5168431265473783e-5,6.950925111276167
AP4B1,-0.7844327757740805,5.526787053382754,-6.461940099908313,2.4531016804244296e-7,1.5252520448286012e-5,6.940867214012844
PTDSS2,-0.9684201631717123,4.060776724276054,-6.457745048701635,2.4833406609612387e-7,1.5327011811107906e-5,6.929066789748722
REPIN1,-1.0030526288479256,6.078551869967542,-6.4488626276243,2.5486136271302605e-7,1.543135552620767e-5,6.9040769206601365
ROBO3,-1.6529844367772886,3.2552897350889887,-6.44010380580788,2.614672266395375e-7,1.5643633503282516e-5,6.879429289523529
FAM3C,-1.0222118643950675,3.508745853181088,-6.4363235387964695,2.6437136203324583e-007,1.573695016763666e-5,6.868789809754901
ARFGAP2,-0.9196952233405995,6.743687874675754,-6.434854989470565,2.655083046258471e-7,1.573695016763666e-5,6.864656337965291
PWAR5,-2.9010764213173323,1.4415391275962064,-6.42337451129959,2.745680139688679e-7,1.603768476228476e-5,6.832337447982594
ANKFY1,-1.4405846154495396,6.030377981133697,-6.420641913128113,2.767699460941045e-7,1.603768476228476e-5,6.824643509261991
SMYD5,-1.9171851443921382,3.573890034859412,-6.42032382326668,2.770274173714109e-7,1.603768476228476e-5,6.8237478576276125
TSPYL2,-1.5960178389910027,6.636435637556518,-6.418808738310244,2.782570893232241e-7,1.603768476228476e-5,6.819481707928125
TRAF1,-2.063332038345555,6.017187006178856,-6.413736384161157,2.8241409613729126e-7,1.613576754687118e-5,6.805197905079364
SLC25A42,-1.4677211053467463,4.878774245467651,-6.409617096073965,2.858360480956582e-7,1.6185466223416646e-5,6.793596639633732
TECPR1,-0.8728321487734819,6.970593092735006,-6.398692815595999,2.9511477722149924e-7,1.6387105695063884e-5,6.76282464768423
CUL9,-1.8329614110269576,5.7504896600645905,-6.388965109767331,3.0363245480921545e-7,1.668695708853684e-5,6.735416379768342
HAUS5,-1.285195922349258,4.626983246325301,-6.380330832354699,3.114000877895263e-7,1.6884921211823535e-5,6.711083548252487
ATG2B,-0.9682684903801494,6.093556142333751,-6.377101395120304,3.1435657042656067e-7,1.6967228677831894e-5,6.7019811722687646
MIR600HG,-2.229169588208413,3.127521870884913,-6.349241121976043,3.4106596998367245e-7,1.81868792552548e-5,6.623426537748358
ATG16L1,-0.7463062687172456,6.360523104559045,-6.33657184838628,3.5395720380519973e-7,1.856938067496798e-5,6.587687584999525
NFKB2,-2.484691329250092,6.510877035560365,-6.334844836168382,3.5575208956301e-7,1.856938067496798e-5,6.582815029031011
TAZ,-1.1774312231223334,6.088228152134404,-6.331069265113894,3.597080465080438e-7,1.8698921565196834e-5,6.572162047721211
MAP4K1,-1.4587443048151087,6.646119204776094,-6.32720572633313,3.638020594527574e-7,1.8804472639835552e-5,6.561259919613434
NEAT1,-1.3546109832309825,9.86771131185668,-6.326360838441311,3.64703584783944e-7,1.8804472639835552e-5,6.558875689717896
DIDO1,-0.7265096878834728,6.935268506172395,-6.322193755034534,3.691830427939008e-7,1.880609524015196e-5,6.54711573406964
KIAA0125,-1.6635378952839168,4.909766115214834,-6.311760028956624,3.806435656779099e-7,1.9312331948234438e-5,6.517665838638157
DDX51,-1.3693263436574188,5.533260113242576,-6.299959850248128,3.940375377058823e-7,1.9545156503617957e-5,6.484350842180863
SETD5,-0.824777941373902,6.921328903995364,-6.299578619656604,3.944780877425258e-7,1.9545156503617957e-5,6.483274384400543
ATAD3B,-1.0301525414084178,4.9992477076810165,-6.278726795699635,4.1934565193509717e-7,2.045761634286451e-5,6.424382788524293
LINC01089,-1.2746283956927194,5.638142296495782,-6.276405664178489,4.2220969605366174e-7,2.051842063120554e-5,6.417825606789336
ZNF500,-0.909601781577179,3.5235989781554453,-6.272119880362642,4.275497931883403e-7,2.061992994981334e-5,6.4057174436109925
ZNF839,-0.8391085535728747,4.875924640001301,-6.268757458586295,4.3178695304331916e-7,2.0745400425763106e-5,6.396217185458351
DHX38,-1.1992016256293954,6.593443856217493,-6.250074990525939,4.561117678131592e-7,2.158702113038101e-5,6.343419128068405
PHKA2,-0.6368930828176462,5.712180402395679,-6.246484666683199,4.60942166352435e-7,2.1654038659312167e-5,6.33327025492502
CARD11,-1.2603617084734051,6.946142894627161,-6.240052409168801,4.6972525300979387e-7,2.1904393783736124e-5,6.315086132651244
ULK1,-1.309611317368214,6.714745939798697,-6.238374956010429,4.7204334698223174e-7,2.1916165103356058e-5,6.3103435453192525
LOC728392,-1.161324059443524,5.982886453365162,-6.237373038993872,4.7343339942601386e-7,2.1916165103356058e-5,6.307510793391776
ZMYM4,-0.8013328129133799,5.484343757467916,-6.231010098997122,4.823580037608949e-7,2.224810516255706e-5,6.289519305177791
SLC29A2,-2.5889409029002652,2.476924004897869,-6.223792680319959,4.926863052859987e-7,2.24059967261624e-5,6.269108944546696
DEPDC5,-1.1014652182436433,4.513441626529206,-6.2228160854014005,4.941008331859674e-7,2.24059967261624e-5,6.266346974672151
MED15,-1.7520744835939928,6.876287330204369,-6.222277187399656,4.948831381015771e-7,2.24059967261624e-5,6.2648228600522735
LSS,-1.4244342362317886,5.126757159841388,-6.215107881712245,5.054100601191461e-7,2.265237174046378e-5,6.244545029231354
CYTH1,-0.8205283055582079,8.61241615690708,-6.210418113592469,5.124178647726143e-7,2.288559224216845e-5,6.231278821386933
ENTPD6,-0.8214500582182123,6.105199091153231,-6.208487361133779,5.153312875234311e-7,2.2934954564727017e-5,6.225816838343693
UBAP1L,-2.2523386412000765,1.8192810341221741,-6.180860612114096,5.588925049141854e-7,2.430072012374988e-5,6.147639990122812
HMHA1,-1.430115045214442,9.193949432064624,-6.177242391842363,5.648656854011508e-7,2.4369919570163935e-5,6.1373982625565215
ATHL1,-1.8674862371747714,8.853322751741665,-6.167053115523042,5.820342529159721e-7,2.5025499877919286e-5,6.108552774551111
CAPRIN2,-1.2570006752399765,5.1447133459128525,-6.1652462784774915,5.851330768306495e-7,2.5073743062567428e-5,6.103437109102133
