gene,logFC,AveExpr,t,P.Value,padj,B
CHP1,1.160675810636344,6.473428689651766,6.2598080365427204,4.4327178969013476e-7,2.119584042612303e-5,6.370928017996105
LGALS1,1.4650320475775267,7.802940617260936,6.258861463612697,4.445043797972821e-7,2.119584042612303e-5,6.368252926348839
MRPL15,1.6398875376876292,4.489110455295398,6.253371938667826,4.51720975218737e-7,2.1459284081177753e-5,6.352738044660132
UQCR10,1.4371609963118404,5.6966614648825145,6.2475432842515035,4.5951257892035937e-7,2.1654038659312167e-5,6.336262758152632
LAMTOR1,1.2452832074145816,6.899873647465946,6.245040718446183,4.6289933786066496e-7,2.1665738750644554e-5,6.329188392791334
NDUFS7,0.8883108739560246,5.734561276565179,6.227851610094738,4.868507835662399e-7,2.2373968618674588e-5,6.280587681541343
SRP14,0.7396468430466595,7.210618265313879,6.2250108898779395,4.909275286234339e-7,2.24059967261624e-5,6.272554164401342
PFDN1,0.9498710531891087,5.345300540455514,6.22124838347278,4.963800914578709e-7,2.24059967261624e-5,6.2619131449561625
ATP6V0E1,1.8831268817270144,7.546076263823118,6.215484808819799,5.048510331982981e-7,2.265237174046378e-5,6.245611210525022
FOPNL,0.8113383086543583,4.972419138466427,6.206550443715441,5.182707671397782e-7,2.298512730909422e-5,6.220337206982162
CKLF,1.7614460454956478,3.9913967522238076,6.199568436371054,5.290074854236874e-7,2.3379550331407846e-5,6.200583055326671
POP7,1.7241201873202068,4.314957220065919,6.192899022973901,5.394725331076434e-7,2.372968527005878e-5,6.181710823686048
H2AFY,0.9149102004759715,8.07047486249729,6.1921431592081655,5.406716369478861e-7,2.372968527005878e-5,6.179571826321492
HN1,1.1661422058032236,5.475265667006542,6.183960649658484,5.538253573230155e-7,2.4223175283741818e-5,6.156414392608191
GPR65,1.4573603113076974,6.028277041790053,6.1805334304815664,5.594300123095999e-7,2.430072012374988e-5,6.14671389920934
PSMA7,1.0797523453663378,7.461470317696536,6.177913518093283,5.637529161949258e-7,2.4369919570163935e-5,6.139298004125719
RSU1,1.1070453871803183,6.367943583140313,6.148701021990086,6.142925696962235e-7,2.5546514603366883e-5,6.056584904152993
CNBP,0.971435025146,8.62415427026494,6.141481047928002,6.274712070105871e-7,2.5847281924979884e-5,6.036135245526889
MESDC2,1.0194531217725653,5.30522822212778,6.14139054631448,6.276381924388052e-7,2.5847281924979884e-5,6.035878894355683
LRPAP1,0.6759411714670108,6.789143271410742,6.132423376317619,6.444072481765863e-7,2.645197908049133e-5,6.010476801680172
GYG1,1.2894018756860077,5.830068517644213,6.119756029646093,6.688668611560344e-7,2.7037393101423797e-5,5.974586035773564
TMBIM6,0.80818675040121,8.913336928244533,6.116511137247817,6.752813696576781e-7,2.7191329818215837e-5,5.965390910433843
ATG3,0.8751959711986407,6.411143923558659,6.114819065399646,6.786507701751791e-7,2.7240526483867e-5,5.960595843285887
RPS19BP1,0.8692644585242632,5.4287383346179725,6.1090414889655245,6.902835563053855e-7,2.753319694395443e-5,5.944222042873205
RWDD1,0.9357781881303371,5.676558423514513,6.103890754402403,7.008232511400981e-7,2.771730245608983e-5,5.929623365267904
PSMA4,1.3061035964189467,7.019975162138112,6.099307256013766,7.103382787070492e-7,2.771730245608983e-5,5.916631327683168
SCAND1,0.8860830316187877,5.94303912210522,6.097960134110728,7.13159439423074e-7,2.771730245608983e-5,5.9128126870341156
EID2,1.1318954049136982,3.910951386792023,6.097909638453873,7.132654069483729e-7,2.771730245608983e-5,5.91266954703187
NSMCE2,1.099726388753146,3.9211743313878125,6.0967540594817935,7.156947768688411e-7,2.771730245608983e-5,5.909393794998261
GADD45GIP1,0.845521737755995,4.311906385830839,6.09527581241486,7.188146269932659e-7,2.771730245608983e-5,5.905203274210743
PYCARD,1.740201684209548,5.84080116445121,6.088893586549743,7.324421345033882e-7,2.8029257730010523e-5,5.887109814736043
TMA7,1.02600111915843,5.650731508947506,6.088330134322992,7.33657644777948e-7,2.8029257730010523e-5,5.885512348877054
APP,0.7535404152275169,6.77249123441231,6.086591908443815,7.374202391466788e-7,2.8088403343352776e-5,5.880584141688924
POLR2L,1.1135280185832201,5.539862941999218,6.078356435862199,7.555123825279087e-7,2.846156011568276e-5,5.8572330673994575
NDUFA9,0.8279168191179271,5.416038868348905,6.077818410099876,7.567097644950457e-7,2.846156011568276e-5,5.85570742572413
APOL1,1.1516757286372372,5.191325054773693,6.075039730501656,7.629241910542525e-7,2.846156011568276e-5,5.84782790794252
RNF113A,1.1115321251237817,4.963616643370194,6.073536020041513,7.663085656837756e-7,2.850398195640179e-5,5.843563679633199
MRPS35,0.9390515745473256,5.123033320705997,6.070249269675029,7.737586536659191e-7,2.8613279192707048e-5,5.834242739345827
PSMB4,1.2939894917851913,8.232092175467942,6.066076139431117,7.833229430848495e-7,2.888275642467509e-5,5.822407393801791
ENSA,0.7619574426661175,6.779814233185834,6.061874214698295,7.930733457945201e-7,2.897885882409314e-5,5.810489588985151
PGAM4,1.5148009411155485,1.44201699710644,6.061021011138841,7.950680282863775e-7,2.897885882409314e-5,5.808069573917889
DEK,0.5806310681996065,7.266893801471272,6.058622052752782,8.007035641101448e-7,2.901749716335165e-5,5.801265025943588
NAA38,1.3538025690309368,4.963086337274944,6.050586733600135,8.198740285803405e-7,2.9627584554168203e-5,5.7784713034848565
PSMD4,0.7263841413559246,6.24771081299809,6.040205796714027,8.453254759418212e-7,3.0288441629508644e-5,5.749019581865003
RPN1,0.6890943669176017,6.966534614264653,6.033744866241367,8.615655753730993e-7,3.061764042633298e-5,5.730686938421702
MRPS30,1.105951933003867,5.174495297586537,6.029444414065366,8.725486329958353e-7,3.0914544304243505e-5,5.718483578804792
LAPTM4A,1.8380602627969682,7.6809091725993435,6.0284464904535575,8.751173156093755e-7,3.091918671640479e-5,5.715651666343845
RNF14,0.7564881125218171,4.564957780819268,6.02623759940411,8.808301289930776e-7,3.10345815448561e-5,5.709383114710546
AIG1,1.2525382826256137,3.4127895514049147,6.012760911777362,9.165058850943054e-7,3.202468497668367e-5,5.671133562261403
SNX6,1.0681487448906932,6.411403670464345,6.007390068636562,9.311252442919757e-7,3.244613351263577e-5,5.655887935106577
FRG1,0.9323360612191345,5.130141768364775,6.004413601390534,9.393278513417432e-7,3.253262213660282e-5,5.647438455153116
REEP5,1.2756923852784743,7.126921738004302,6.003701209238094,9.413018230947049e-7,3.253262213660282e-5,5.645416090609954
RNF181,0.8734752211980547,4.977581743070793,5.9951670977291505,9.652756997715567e-7,3.32465476609286e-5,5.62118755937812
OAZ1,2.1999545067329276,10.889033638642346,5.9944910432155085,9.672008898519908e-7,3.32465476609286e-5,5.619268101201646
COA3,1.693389398172392,4.030778673287188,5.987133216871578,9.884048541655697e-7,3.3701417124290554e-5,5.598376546079683
PDCD10,1.0706672889312092,5.457178111443193,5.982659094344659,1.0015262517445268e-6,3.405726267326428e-5,5.585671840767333
NDUFB10,1.4254455050061996,5.913503243137744,5.975892599387168,1.0217038811628227e-6,3.4650513445639685e-5,5.566456248442664
LSM5,1.0966862603632364,4.554938938276634,5.9682606058829935,1.0449530782421976e-6,3.5202232239524696e-5,5.544780699832904
WAC-AS1,1.3552553894829145,5.572506242563736,5.967606009865998,1.0469717445464117e-6,3.5202232239524696e-5,5.542921485597802
MGAT2,0.7370831279399064,4.782412423055028,5.966925930905744,1.0490731462110008e-6,3.5202232239524696e-5,5.5409898764511745
MBD2,0.7702838721255818,7.423473224829242,5.963516359216,1.0596725660102652e-6,3.5431236922506475e-5,5.5313055046012085
ANXA2,1.1030308462785006,7.522793390880322,5.954103621749089,1.0894960860972297e-6,3.608137951973175e-5,5.5045678101214115
CYSTM1,1.9747385477155073,3.6781368721948944,5.948330291349976,1.108204199419556e-6,3.645513320645179e-5,5.488166560788406
FOLR3,3.1115291522330435,3.186136961578818,5.946748653106702,1.1133854851228754e-6,3.645513320645179e-5,5.483673130479632
MYL12B,1.2298910933651757,8.361969440151428,5.946211007795776,1.1151522929756618e-6,3.645513320645179e-5,5.482145661004408
ASF1A,0.9687373071725927,4.728993483749373,5.9422212194964414,1.1283518245658712e-6,3.660361775650514e-5,5.470810207065597
HOXA1,2.208911316320063,0.6419295102306202,5.936523506281489,1.1474743151139017e-6,3.703451453665326e-5,5.4546213589159525
PSMB2,1.0179650190623701,6.466520727336128,5.933706140321522,1.157049819035582e-6,3.71211156814268e-5,5.446615986827279
SNRPD2,1.0438419281630644,6.766831112482273,5.9326208967415965,1.1607596610592153e-6,3.71211156814268e-5,5.443532259985439
PIK3CG,0.9412630156233395,6.345012845257397,5.9322985174418275,1.1618639960206906e-6,3.71211156814268e-5,5.442616209165058
TMEM70,1.618335201269952,4.895497857339241,5.929130901759575,1.1727711937958218e-6,3.737545181433719e-5,5.433615138817959
LIPA,1.4144238743693685,7.025558308250091,5.923948302144865,1.190838924842026e-6,3.776150230674064e-5,5.418887561418645
CAPZA2,0.9943227059731368,6.508075550601816,5.91801358050525,1.2118723870207073e-6,3.8332641787956734e-5,5.402021528355862
TXN,1.315643071532908,5.660957995723441,5.913536617797708,1.2279859190247173e-6,3.853424506723822e-5,5.389297552601594
UFD1L,1.1374357259524919,5.765971116912546,5.913204574498342,1.2291895494856645e-6,3.853424506723822e-5,5.388353825711466
TMEM126A,1.107982130425809,4.1326143986807935,5.912382346146265,1.2321751638271817e-6,3.853424506723822e-5,5.386016888819034
CD9,1.7613155717865598,3.595150090741672,5.907624580464242,1.249594768740837e-6,3.889505565338906e-5,5.3724939317675275
PRCP,1.0447041047311283,6.3365183928485775,5.906938735911944,1.252126165383993e-6,3.889505565338906e-5,5.370544500267044
BAG1,0.9267697542301072,6.058186207252471,5.905554466466326,1.257251089395263e-6,3.889505565338906e-5,5.366609832326732
STX8,0.9988705268022414,4.725462735382599,5.901488609591149,1.2724260734499404e-6,3.915505666162244e-5,5.3550526204538205
PLA2G16,1.5004010497048703,4.350029701820714,5.898512852002096,1.2836489365790895e-6,3.925663618618674e-5,5.346593681317454
CHMP5,0.963015083267626,5.071674462675039,5.898311012310634,1.284413750967163e-6,3.925663618618674e-5,5.346019918090924
TMEM60,1.6687211141942073,2.774876941686079,5.893339795892663,1.3033958802649248e-6,3.9741041695385356e-5,5.331887990825811
SKP1P2,1.0533616391253304,2.6475888589845415,5.890254581866441,1.3153178910134853e-6,3.98190838525246e-5,5.323117104506366
TCEB2,1.123516473354856,6.470335207893046,5.886370543856576,1.3304825763049182e-6,4.0135696725624115e-5,5.31207483568989
VDAC3,0.7696288310998955,6.3309227164917585,5.885943430708726,1.3321608578908666e-6,4.0135696725624115e-5,5.310860530021284
MRPL33,1.1573746810848864,5.164038325274758,5.880859656776319,1.3523008188781641e-6,4.044535518922956e-5,5.296406655222434
ARF6,1.025419121695598,8.319773075702834,5.87993810432066,1.3559842548833913e-6,4.044535518922956e-5,5.29378646888323
DSTN,1.0828742441316181,5.830976616880368,5.878613531570525,1.3612962113186173e-6,4.044535518922956e-5,5.290020357529256
S100A11,1.6011511403154737,8.296903119921051,5.878545150375337,1.3615710080259398e-6,4.044535518922956e-5,5.289825930222539
EID1,0.8314149619616619,6.959860150787008,5.874556676369445,1.3776958294034771e-6,4.0690170829060694e-5,5.278485312626561
CNIH4,1.4559887234129085,5.146585943805505,5.874128910250012,1.3794365702062519e-6,4.0690170829060694e-5,5.277268996459702
C6orf62,0.8791913097484392,7.808196218321985,5.8718207292547655,1.3888676005179678e-6,4.087331008113667e-5,5.270705787854576
SQRDL,0.9083704628286318,5.906440733042047,5.8688990596325,1.400898182074074e-6,4.090378797886113e-5,5.262397924597064
FUOM,1.5728910038554205,3.7657228342768336,5.866002253473034,1.412929674607185e-6,4.101052629912479e-5,5.254160512484653
SNX3,0.7704221066546981,6.765219958309542,5.864112245610854,1.420835433687355e-6,4.1111115134686744e-5,5.24878591818084
PTRHD1,1.7294056117918375,4.769555620211015,5.8636257450873455,1.4228776051819206e-6,4.1111115134686744e-5,5.247402445196453
C12orf75,1.7866185309969544,5.995327351422939,5.861978930478551,1.4298122936901102e-6,4.1178503641708814e-5,5.242719308700986
MRPL40,0.8621277336473244,4.102895230710494,5.861531340042945,1.4317029411852401e-6,4.1178503641708814e-5,5.241446457786839
AP3S1,1.1996827462805493,5.801010417074814,5.858889574090826,1.442913143250707e-6,4.1407036898171874e-5,5.233933725958526
STOM,1.2760593482184437,6.873108019074008,5.851784424049519,1.4735026370834902e-6,4.19997920197011e-5,5.21372690172802
TMEM256,1.1340502899098754,4.1071565768006355,5.846856393367448,1.4951006016596937e-6,4.242473385112204e-5,5.1997109019599765
MRPS23,1.4402309444222354,4.440870372770537,5.84541078891312,1.5014962929208227e-6,4.243151404879738e-5,5.195599275311295
SNX24,1.2820365402576448,2.5685618993134876,5.842125256379933,1.516134577677568e-6,4.273477996280505e-5,5.1862542625192045
MSMO1,1.019647940551445,3.8346393766087594,5.839364304935567,1.5285463644602831e-6,4.28939869177306e-5,5.178401083555515
METTL9,1.0664197945216691,7.401213886960786,5.838181441809114,1.5338950536885554e-6,4.294906150327955e-5,5.175036515060908
C14orf119,1.3624498805123664,4.252575821912765,5.835143888060102,1.5477165306249884e-6,4.3087543937302856e-5,5.166396241077658
PRDX5,0.9570273717412366,6.197089458581725,5.834856238774925,1.5490318539427707e-6,4.3087543937302856e-5,5.165578014401868
NDUFAF3,0.8258990780763077,4.932598486307172,5.828742525064493,1.5772546716382037e-6,4.342353699877486e-5,5.148186861336061
